name,url,bedrooms,bathrooms,floors,land_area,building_area,longitude,latitude,price
Sewa Tempat Cocok untuk kafe atau Kuliner,https://www.lamudi.co.id/sewa-tempat-cocok-untuk-kafe-atau-kuliner-170235481614.html,1.0,2.0,1.0,90.0,90.0,107.607608,-6.890485,95000000.0
"Rumah sewa 2 lantai, sukanegla. Antapani",https://www.lamudi.co.id/rumah-sewa-2-lantai-sukanegla-antapani-170341287079.html,4.0,2.0,1.0,90.0,60.0,107.66194,-6.92306,22500000.0
Disewakan rumah 1 lantai furnish di Setrasari Kulon Bandung,https://www.lamudi.co.id/disewakan-rumah-1-lantai-furnish-di-setrasari-kulo-166800471643.html,,4.0,1.0,413.0,275.0,108.251589,-6.387806,175000000.0
Disewakan rumah siap huni di tengah kota jln Turangga Bandung,https://www.lamudi.co.id/disewakan-rumah-siap-huni-di-tengah-kota-jln-turan-169051405180.html,5.0,4.0,,135.0,190.0,107.626978,-6.929357,75000000.0
"Disewa Rumah Viila Dago Pramestha, Nyaman, Aman Dan Asri, Bandung",https://www.lamudi.co.id/disewa-rumah-viila-dago-pramestha-nyaman-aman-dan-169572540723.html,,,0.0,136.0,295.0,107.623445,-6.876258,100000000.0
Disewakan Rumah Minimalis Di Kota Baru Parahyangan Purbasari,https://www.lamudi.co.id/disewakan-rumah-minimalis-di-kota-baru-parahyangan-169705201191.html,3.0,,1.0,167.0,,107.6025,-6.92472,60000000.0
"Rumah LUX minimalis, Setrawangi, Siap Huni, Full furnish",https://www.lamudi.co.id/rumah-lux-minimalis-setrawangi-siap-huni-full-furn-169519681836.html,4.0,3.0,2.0,225.0,250.0,107.5839,-6.88034,175000000.0
Disewakan Rumah Di Talaga Bodas Dekat BKR Daerah Ramai,https://www.lamudi.co.id/disewakan-rumah-di-talaga-bodas-dekat-bkr-daerah-r-169766171760.html,5.0,3.0,1.0,120.0,200.0,107.7949,-7.0059,125000000.0
"Disewakan Rumah 3 Lantai, Jalan Cilaki, Sayap Riau Bandung Kota",https://www.lamudi.co.id/disewakan-rumah-3-lantai-jalan-cilaki-sayap-riau-b-169830589598.html,1.0,1.0,1.0,429.0,800.0,107.623302,-6.907542,500000000.0
disewakan rumah di cluster Podomoro,https://www.lamudi.co.id/disewakan-rumah-di-cluster-podomoro-170107148437.html,2.0,1.0,1.0,127.0,137.0,107.62444,-6.81167,50000000.0
Disewakan Rumah Di Kota Bali Residence Padalarang,https://www.lamudi.co.id/disewakan-rumah-di-kota-bali-residence-padalarang-169705201889.html,2.0,1.0,1.0,72.0,36.0,107.467209,-6.844347,32000000.0
Disewa Ruko / Rumah Di Mekarwangi Bandung,https://www.lamudi.co.id/disewa-ruko-rumah-di-mekarwangi-bandung-168964970754.html,5.0,5.0,1.0,300.0,400.0,107.6212817,-6.9548746,150000000.0
dikontrakkan rumah siap huni di perumahan bukit bunga,https://www.lamudi.co.id/dikontrakkan-rumah-siap-huni-di-perumahan-bukit-bu-169693769990.html,3.0,1.0,,90.0,,107.55333,-6.99917,20000000.0
Rumah Pajajaran Bandung,https://www.lamudi.co.id/rumah-pajajaran-bandung-169873823444.html,3.0,3.0,1.0,362.0,300.0,1.0,1.0,250000000.0
DISEWA RUMAH TAMAN RAHAYU 2 BANDUNG JAWA BARAT,https://www.lamudi.co.id/disewa-rumah-taman-rahayu-2-bandung-jawa-barat-168533176180.html,2.0,1.0,1.0,94.0,94.0,107.6212817,-6.9548746,23000000.0
Disewakan Rumah Di Kota Bali Residence Padalarang,https://www.lamudi.co.id/disewakan-rumah-di-kota-bali-residence-padalarang-169705202681.html,2.0,1.0,1.0,84.0,55.0,107.467209,-6.844347,30000000.0
Rumah Lux View Danau Podomoro Park Bandung,https://www.lamudi.co.id/rumah-lux-view-danau-podomoro-park-bandung-169466671995.html,4.0,,1.0,198.0,202.0,107.63361,-6.98056,200000000.0
"Disewakan rumah 2 lt. Di  Cherry Field Ciganitri,  Buahbatu,Bdg.",https://www.lamudi.co.id/disewakan-rumah-2-lt-di-cherry-field-ciganitri-bua-169810920770.html,3.0,2.0,1.0,100.0,90.0,107.63361,-6.98056,55000000.0
Disewakan Rumah Siap Huni Furnish di Antapani Bandung,https://www.lamudi.co.id/disewakan-rumah-siap-huni-furnish-di-antapani-band-170105531062.html,3.0,1.0,1.0,108.0,100.0,107.66194,-6.92306,60000000.0
Disewakan Rumah Baru Di Kota Baru Parahyangan Tarubhawana,https://www.lamudi.co.id/disewakan-rumah-baru-di-kota-baru-parahyangan-taru-169766434542.html,3.0,2.0,1.0,,122.0,107.6025,-6.92472,110000000.0
Sewa Rumah Sayap Pasteur Surya Sumantri Kumala Garden Bandung,https://www.lamudi.co.id/sewa-rumah-sayap-pasteur-surya-sumantri-kumala-gar-169200386685.html,,4.0,1.0,300.0,300.0,107.5747089463,-6.8896569929,100000000.0
